Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-03-15,Barbarian,2022,https://boxd.it/97COHP,4,,"sehr abgefuckter Film, der einen total überrascht mit verschiedenen Ansätzen an das was passiert. Sehr empfehlenswert wenn man auf thriller/horror mit mehr thriller steht
",,2025-03-14
2025-03-15,Control,2022,https://boxd.it/97CPeT,2.5,,"interessanter Film, errinert stark an Lucy. Leider verliert der Film schnell an dampf und das ende ist sehr unbefriedigend, auch wenn es einen guten ""twist"" gab, den man aber kilometerweit entfernt schon riechen konnte. Kann man schaun, muss man aber nicht
",,2025-03-14
2025-03-15,Dark Web: Cicada 3301,2021,https://boxd.it/97CPQt,2.5,,"wäre viel höher eingerankt, WENN DIE NICHT SO CRINGE WÄREN. Idee war eigentlich ganz cool, das skript war auch nice, aber die UMSETZUNG war ja totale katastrophe. Nichts hat sich authentisch gefühlt. Wenn man das nicht anschaut, verpasst man auch nichts
",,2025-03-14
2025-03-15,Glass Onion,2022,https://boxd.it/97CQXF,3.5,,"Ein Film der am Anfang zu sehr versucht alle klischees die es gibt wie pokemons zu sammeln. Allgemein startet sehr langsam ( auch wenn mit einem ""Sinn"" dahinter ). Geht erst richtig los ab >50 min. Dann wird der Film SEHR SEHR interessant, eine solide 10/10 Handlung. Das Ende des Films ist sehr unbefriedigend für mich und ich fand auch das man das viel besser machen konnte. Es könnte LOCKER eine 10/10 werden, aber leider dur viele unnötige klischees, zu sehr in die Länge gezogen und unbefriedigendes Ende ist es nur noch eine 7/10 für mich. Gucken lohnt sich trotzdem!)
",,2025-03-14
2025-03-15,Anna,2019,https://boxd.it/97CRVl,3,,"ein Film das in den 90er ist und sich um spione der KGB und CIA handelt der sehr viele Interessante Stellen hat leider aber auch sehr viele unnötige Stellen. Teilweise sehr viele stellen die stark an John Wick errinern und in der anderen Stelle denk ich mir ich befinde mich irgendwo bei Desperate Housewives. Eigentlich kann man gucken, weil es viele gute Ansätze hat und teilweise sehr spannend ist. Aber anderseits kann man den film auch nicht gucken und man würde nichts wirklich verpassen.
",,2025-03-14
2025-03-15,Prey for the Devil,2022,https://boxd.it/97CSO1,3,,"Ein Film wo ich persönlich nicht hohe Erwartungen hatte weil es eine 0815 Exorzismus Geschichte ist. In wirklichkeit hat er etwas überrascht mit einer Story die leicht zu verdauen ist und einigen interessanten Plottwists. Film baut größtenteils auf Spannung auf. Kann man auf jedenfall mal schauen.
",,2025-03-14
2025-03-15,The Menu,2022,https://boxd.it/97CTcR,2.5,,"Sehr kryptischer und melanchonier film. Was dazu führt das dieser auch sehr langweilig ist (Nicht mein Geschmacksstil). Viel dazu kann man tatsächlich nicht sagen. Kann man schauen, muss man aber nicht.
",,2025-03-14
2025-03-15,V/H/S/99,2022,https://boxd.it/97CUlv,2,,"Die Qualität hat nachgelassen wenn man es vergleicht mit älteren V/H/S Teilen. Insbesondere merkt man das an Stellen wo CGI zum Einsatz kommt. Die verschiedenen Story sind auch wild, springen von extrem Gut ( 2.te Story ) zu extremen Durchschnitt oder total schlecht. Kann man gucken wenn man sonst nichts hat.
",,2025-03-14
2025-03-15,The Wandering Earth,2019,https://boxd.it/97CV25,3.5,,"Ein Interessanter Film aus China der über Idee redet wie die Menschheit versucht die Erde zu retten. Extrem gut gemachte CGI Momente, Story war halt typisch für Weltuntergang, aber gab einige Stellen wo man mit nicht gerechnet hat. Leider hat der sich etwas zu lang gezogen mMn und somit etwas an schwung verloren. Nichts desto trotz ist das ein sehr solider Film den man sich mal anschauen kann
",,2025-03-14
2025-03-15,Flatliners,2017,https://boxd.it/97CVFh,3.5,,"Cooler Film der den Gedanken anspricht was passiert nach dem Tod. Über den ganzen Film lang ist die Spannung gut, insbesondere wenn es mehr auf den Thriller Part angeht, die Drama Szenen sind nicht zu lastig und im großen und ganzen ein gut abgepackter Film. Kann man sich definitiv mal anschauen.
",,2025-03-14
